ZipCode|ZipCodeType|City|State|Lattitude|Longitude|Location
58274|Standard|Portland|ND|47.49|-97.36|NA-US-ND-PORTLAND
58275|Standard|Reynolds|ND|47.67|-97.10|NA-US-ND-REYNOLDS
58276|Standard|Saint Thomas|ND|48.62|-97.44|NA-US-ND-SAINT THOMAS
58277|Standard|Sharon|ND|47.59|-97.89|NA-US-ND-SHARON
58278|Standard|Thompson|ND|47.77|-97.10|NA-US-ND-THOMPSON
58281|Standard|Wales|ND|48.89|-98.60|NA-US-ND-WALES
58282|Standard|Walhalla|ND|48.92|-97.91|NA-US-ND-WALHALLA
58301|Standard|Devils Lake|ND|48.11|-98.87|NA-US-ND-DEVILS LAKE
58310|Standard|Agate|ND|48.57|-99.66|NA-US-ND-AGATE
58311|Standard|Alsen|ND|48.62|-98.70|NA-US-ND-ALSEN
58313|Standard|Balta|ND|48.16|-100.03|NA-US-ND-BALTA
58316|Standard|Belcourt|ND|48.84|-99.74|NA-US-ND-BELCOURT
58317|Standard|Bisbee|ND|48.62|-99.37|NA-US-ND-BISBEE
58318|Standard|Bottineau|ND|48.82|-100.44|NA-US-ND-BOTTINEAU
58319|Standard|Bremen|ND|47.72|-99.36|NA-US-ND-BREMEN
58321|Standard|Brocket|ND|48.21|-98.35|NA-US-ND-BROCKET
58323|Standard|Calvin|ND|48.85|-98.93|NA-US-ND-CALVIN
58324|Standard|Cando|ND|48.48|-99.20|NA-US-ND-CANDO
58325|Standard|Churchs Ferry|ND|48.26|-99.19|NA-US-ND-CHURCHS FERRY
58327|Standard|Crary|ND|48.07|-98.64|NA-US-ND-CRARY
58329|Standard|Dunseith|ND|48.81|-100.06|NA-US-ND-DUNSEITH
58330|Standard|Edmore|ND|48.41|-98.45|NA-US-ND-EDMORE
58331|Standard|Egeland|ND|48.62|-99.09|NA-US-ND-EGELAND
58332|Standard|Esmond|ND|48.03|-99.76|NA-US-ND-ESMOND
58335|PO Box|Fort Totten|ND|47.97|-98.99|NA-US-ND-FORT TOTTEN
58338|Standard|Hampden|ND|48.53|-98.65|NA-US-ND-HAMPDEN
58339|Standard|Hansboro|ND|48.95|-99.38|NA-US-ND-HANSBORO
58341|Standard|Harvey|ND|47.77|-99.93|NA-US-ND-HARVEY
58343|Standard|Knox|ND|48.34|-99.68|NA-US-ND-KNOX
58344|Standard|Lakota|ND|48.04|-98.34|NA-US-ND-LAKOTA
58345|Standard|Lawton|ND|48.30|-98.36|NA-US-ND-LAWTON
58346|Standard|Leeds|ND|48.28|-99.43|NA-US-ND-LEEDS
58348|Standard|Maddock|ND|47.96|-99.52|NA-US-ND-MADDOCK
58351|Standard|Minnewaukan|ND|48.06|-99.25|NA-US-ND-MINNEWAUKAN
58352|Standard|Munich|ND|48.66|-98.83|NA-US-ND-MUNICH
58353|Standard|Mylo|ND|48.63|-99.61|NA-US-ND-MYLO
58355|PO Box|Nekoma|ND|48.57|-98.37|NA-US-ND-NEKOMA
58356|Standard|New Rockford|ND|47.68|-99.13|NA-US-ND-NEW ROCKFORD
58357|Standard|Oberon|ND|47.92|-99.20|NA-US-ND-OBERON
58361|Standard|Pekin|ND|47.79|-98.32|NA-US-ND-PEKIN
58362|Standard|Penn|ND|48.22|-99.08|NA-US-ND-PENN
58363|Standard|Perth|ND|48.71|-99.45|NA-US-ND-PERTH
58365|Standard|Rocklake|ND|48.79|-99.24|NA-US-ND-ROCKLAKE
58366|Standard|Rolette|ND|48.66|-99.84|NA-US-ND-ROLETTE
58367|Standard|Rolla|ND|48.85|-99.61|NA-US-ND-ROLLA
58368|Standard|Rugby|ND|48.36|-99.99|NA-US-ND-RUGBY
58369|Standard|Saint John|ND|48.94|-99.71|NA-US-ND-SAINT JOHN
58370|Standard|Saint Michael|ND|47.94|-98.90|NA-US-ND-SAINT MICHAEL
58372|Standard|Sarles|ND|48.94|-98.99|NA-US-ND-SARLES
58374|Standard|Sheyenne|ND|47.82|-99.11|NA-US-ND-SHEYENNE
58377|Standard|Starkweather|ND|48.45|-98.87|NA-US-ND-STARKWEATHER
58379|PO Box|Tokio|ND|47.92|-98.81|NA-US-ND-TOKIO
58380|Standard|Tolna|ND|47.82|-98.43|NA-US-ND-TOLNA
58381|Standard|Warwick|ND|47.85|-98.70|NA-US-ND-WARWICK
58382|Standard|Webster|ND|48.28|-98.87|NA-US-ND-WEBSTER
58384|Standard|Willow City|ND|48.60|-100.29|NA-US-ND-WILLOW CITY
58385|Standard|Wolford|ND|48.49|-99.70|NA-US-ND-WOLFORD
58386|Standard|York|ND|48.31|-99.57|NA-US-ND-YORK
58401|Standard|Jamestown|ND|46.91|-98.69|NA-US-ND-JAMESTOWN
58402|PO Box|Jamestown|ND|46.91|-98.69|NA-US-ND-JAMESTOWN
58405|Unique|Jamestown|ND|46.91|-98.69|NA-US-ND-JAMESTOWN
58413|Standard|Ashley|ND|46.03|-99.37|NA-US-ND-ASHLEY
58415|Standard|Berlin|ND|46.37|-98.48|NA-US-ND-BERLIN
58416|Standard|Binford|ND|47.55|-98.34|NA-US-ND-BINFORD
58418|Standard|Bowdon|ND|47.46|-99.70|NA-US-ND-BOWDON
58420|Standard|Buchanan|ND|47.06|-98.82|NA-US-ND-BUCHANAN
58421|Standard|Carrington|ND|47.45|-99.12|NA-US-ND-CARRINGTON
