RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
021081723|Lovenia Ops Acct1|Bank of Slovenia Ops Acct 1|New York|NY|
021081736|Pain Ops Acct1|Banco De Espana Ops Acct 1|New York|NY|
021081778|Anzania Ramp|Bank of Tanzania Ramp Acct|New York|NY|
021081794|Exico Ops Acct1|Banco De Mexico , Sa|New York|NY|
021081804|Otswana Pula Fund|Bank of Botswana Pula Fund|New York|NY|
021081817|Enya Ramp|Central Bank of Kenya-Ramp Account|New York|NY|
021081833|Cb Des Acct De|Ecbdesignated Account De,|New York|NY|
021081859|Rb Sp Ops Acct2|Frbny Special Operations Acount 2|Haverstraw|NY|
021081875|Srael Em Account|Bank of Israel Extnl Mgmt Account|New York|NY|
021081888|Rb Sp Ops Acct 3|Frbny Special Operations Account 3|New York|NY|
021081891|Bkazak Nf Savings|Nbk-National Fund Savings Acct|New York|NY|
021081901|Bk Stabilization|Nbk - Natl Fund Stabilization Acct|New York|NY|
021081914|Rance Acct B|Banque De France- Account B|New York|NY|
021081927|Emen Ramp|Central Bank of Yemen- Ramp Account|New York|NY|
021081930|Fghanistan Ramp|Da Afghanistan Bank-Ramp Account|New York|NY|
021081943|Apan - Ops Acct 3|Bank of Japan - Ops Acct 3|New York|NY|
021081956|Cb - Ops Acct 2|Ecb - Ops Acct 2|New York|NY|
021081969|Ns - Ops Acct 2|Bns - Ops Acct 2|New York|NY|
021081985|Oj - Ops Acct 2|Bank of Japan - Ops Acct 2|New York|NY|
021081998|Ndia Fms|Reserve Bank of India|New York|NY|
021082023|Eorgia Ramp|National Bank of Georgia Ramp Acct|New York|NY|
021082065|Ongolia Sp Acct|Bank of Mongolia Special Account|New York|NY|
021082133|Da African|Ida African/foreign Department|New York|NY|
021082146|Ngland-No. 3 Ac|Bank of England-No.3 Account|New York|NY|
021082159|Fad|Ifad/foreign Department|New York|NY|
021082191|Anada Fiscalagt B|Bank of Canada Fiscal Agent Acct B|New York|NY|
021082214|B Kenya Portfolio|Central Bank of Kenya-Portfolio Acct|New York|NY|
021082227|Frican Devbk Ippf|African Devbk Nepad-Ippf|New York|NY|
021082243|Ganda Sp Acct|Bank of Uganda-Special Account|New York|NY|
021082256|Stonia Ops Acct1|Eesti Pank Ops Acct 1|New York|NY|
021082272|Ingapore Op2|Singapore Ops Account 2|New York|NY|
021082285|Ierra Leone Sp Ac|Sierra Leone Special Acct|New York|NY|
021082298|Urinam Ip|Central Bank Van Surinam - Ip Acct|New York|NY|
021082308|Rb Sp Ops Acct 1|Frbny Special Operations Account 1|New York|NY|
021082311|Ur Fin Protection|Bureau of Consumer Fin Protection|New York|NY|
021082340|Mf Administered|Imf Administered Account|New York|NY|
021082353|Reland Ops Acct2|Cent Bk of Ireland Ops Acct 2|New York|NY|
021082366|Hana - Petroleum|Ghana - Petroleum Funds Acct|New York|NY|
021082379|Alaysia - Portfol|Malaysia - Separate Portfolio Acct|New York|NY|
021082395|Mf Sp Disb|Imf Sp Disb/foreign Department|New York|NY|
021082405|Mf Suppl Fin Fac|Imf Suppl Fin Fac/foreign Department|New York|NY|
021082418|Outh Sudan|Bank of South Sudan|New York|NY|
