CompanyName|CreatedDate
Gold Kist Inc.|2019-06-23
Golden State Bancorp Inc.|2019-06-23
Golden West Financial Corporation|2019-06-23
Goldman Sachs Group Inc.|2019-06-23
Goodrich Corporation|2019-06-23
The Goodyear Tire & Rubber Company|2019-06-23
Granite Construction Incorporated|2019-06-23
Graybar Electric Company Inc.|2019-06-23
Great Lakes Chemical Corporation|2019-06-23
Great Plains Energy Inc.|2019-06-23
GreenPoint Financial Corp.|2019-06-23
Greif Bros. Corporation|2019-06-23
Grey Global Group Inc.|2019-06-23
Group 1 Automotive Inc.|2019-06-23
Guidant Corporation|2019-06-23
H&R Block Inc.|2019-06-23
H.B. Fuller Company|2019-06-23
H.J. Heinz Company|2019-06-23
Halliburton Co.|2019-06-23
Harley-Davidson Inc.|2019-06-23
Harman International Industries Inc.|2019-06-23
Harrah's Entertainment Inc.|2019-06-23
Harris Corp.|2019-06-23
Harsco Corp.|2019-06-23
Hartford Financial Services Group Inc.|2019-06-23
Hasbro Inc.|2019-06-23
Hawaiian Electric Industries Inc.|2019-06-23
HCA Inc.|2019-06-23
Health Management Associates Inc.|2019-06-23
Health Net Inc.|2019-06-23
Healthsouth Corp|2019-06-23
Henry Schein Inc.|2019-06-23
Hercules Inc.|2019-06-23
Herman Miller Inc.|2019-06-23
Hershey Foods Corp.|2019-06-23
Hewlett-Packard Company|2019-06-23
Hibernia Corp.|2019-06-23
Hillenbrand Industries Inc.|2019-06-23
Hilton Hotels Corp.|2019-06-23
Hollywood Entertainment Corp.|2019-06-23
Home Depot Inc.|2019-06-23
Hon Industries Inc.|2019-06-23
Honeywell International Inc.|2019-06-23
Hormel Foods Corp.|2019-06-23
Host Marriott Corp.|2019-06-23
Household International Corp.|2019-06-23
Hovnanian Enterprises Inc.|2019-06-23
Hub Group Inc.|2019-06-23
Hubbell Inc.|2019-06-23
Hughes Supply Inc.|2019-06-23
Humana Inc.|2019-06-23
Huntington Bancshares Inc.|2019-06-23
Idacorp Inc.|2019-06-23
IDT Corporation|2019-06-23
IKON Office Solutions Inc.|2019-06-23
Illinois Tool Works Inc.|2019-06-23
IMC Global Inc.|2019-06-23
Imperial Sugar Company|2019-06-23
IMS Health Inc.|2019-06-23
Ingles Market Inc|2019-06-23
Ingram Micro Inc.|2019-06-23
Insight Enterprises Inc.|2019-06-23
Integrated Electrical Services Inc.|2019-06-23
Intel Corporation|2019-06-23
International Paper Co.|2019-06-23
Interpublic Group of Companies Inc.|2019-06-23
Interstate Bakeries Corporation|2019-06-23
International Business Machines Corp.|2019-06-23
International Flavors & Fragrances Inc.|2019-06-23
International Multifoods Corporation|2019-06-23
Intuit Inc.|2019-06-23
IT Group Inc.|2019-06-23
ITT Industries Inc.|2019-06-23
Ivax Corp.|2019-06-23
J.B. Hunt Transport Services Inc.|2019-06-23
J.C. Penny Co.|2019-06-23
J.P. Morgan Chase & Co.|2019-06-23
Jabil Circuit Inc.|2019-06-23
Jack In The Box Inc.|2019-06-23
Jacobs Engineering Group Inc.|2019-06-23
JDS Uniphase Corp.|2019-06-23
Jefferson-Pilot Co.|2019-06-23
John Hancock Financial Services Inc.|2019-06-23
Johnson & Johnson|2019-06-23
Johnson Controls Inc.|2019-06-23
Jones Apparel Group Inc.|2019-06-23
KB Home|2019-06-23
Kellogg Company|2019-06-23
Kellwood Company|2019-06-23
Kelly Services Inc.|2019-06-23
Kemet Corp.|2019-06-23
Kennametal Inc.|2019-06-23
Kerr-McGee Corporation|2019-06-23
KeyCorp|2019-06-23
KeySpan Corp.|2019-06-23
Kimball International Inc.|2019-06-23
Kimberly-Clark Corporation|2019-06-23
Kindred Healthcare Inc.|2019-06-23
KLA-Tencor Corporation|2019-06-23
K-Mart Corp.|2019-06-23
Knight-Ridder Inc.|2019-06-23
Kohl's Corp.|2019-06-23
KPMG Consulting Inc.|2019-06-23
Kroger Co.|2019-06-23
L-3 Communications Holdings Inc.|2019-06-23
Laboratory Corporation of America Holdings|2019-06-23
Lam Research Corporation|2019-06-23
LandAmerica Financial Group Inc.|2019-06-23
Lands' End Inc.|2019-06-23
Landstar System Inc.|2019-06-23
La-Z-Boy Inc.|2019-06-23
Lear Corporation|2019-06-23
Legg Mason Inc.|2019-06-23
Leggett & Platt Inc.|2019-06-23
Lehman Brothers Holdings Inc.|2019-06-23
Lennar Corporation|2019-06-23
Lennox International Inc.|2019-06-23
Level 3 Communications Inc.|2019-06-23
Levi Strauss & Co.|2019-06-23
Lexmark International Inc.|2019-06-23
Limited Inc.|2019-06-23
Lincoln National Corporation|2019-06-23
Linens 'n Things Inc.|2019-06-23
Lithia Motors Inc.|2019-06-23
Liz Claiborne Inc.|2019-06-23
Lockheed Martin Corporation|2019-06-23
Loews Corporation|2019-06-23
Longs Drug Stores Corporation|2019-06-23
Louisiana-Pacific Corporation|2019-06-23
Lowe's Companies Inc.|2019-06-23
LSI Logic Corporation|2019-06-23
The LTV Corporation|2019-06-23
The Lubrizol Corporation|2019-06-23
Lucent Technologies Inc.|2019-06-23
Lyondell Chemical Company|2019-06-23
M & T Bank Corporation|2019-06-23
Magellan Health Services Inc.|2019-06-23
Mail-Well Inc.|2019-06-23
Mandalay Resort Group|2019-06-23
Manor Care Inc.|2019-06-23
Manpower Inc.|2019-06-23
Marathon Oil Corporation|2019-06-23
Mariner Health Care Inc.|2019-06-23
Markel Corporation|2019-06-23
Marriott International Inc.|2019-06-23
Marsh & McLennan Companies Inc.|2019-06-23
Marsh Supermarkets Inc.|2019-06-23
Marshall & Ilsley Corporation|2019-06-23
Martin Marietta Materials Inc.|2019-06-23
Masco Corporation|2019-06-23
Massey Energy Company|2019-06-23
MasTec Inc.|2019-06-23
Mattel Inc.|2019-06-23
Maxim Integrated Products Inc.|2019-06-23
